,City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
0,אופקים,בן גוריון,4.0,12.0,3.0,720.0,18272.0,1.0,334.0,376.0,5.0,5.0,4.0,98.0
1,אופקים,דדו,2.0,0.0,0.0,687.0,6602.0,1.0,342.0,211.0,7.0,2.0,1.0,108.0
2,אופקים,הארזים,0.0,15.0,5.0,0.0,18294.0,2.0,324.0,372.0,18.0,14.0,4.0,117.0
3,אופקים,"הרי""ף",5.0,12.0,0.0,370.0,18294.0,1.0,283.0,222.0,2.0,12.0,5.0,88.0
4,אופקים,יעקב מסיקה,9.0,10.0,2.0,285.0,21177.0,1.0,326.0,377.0,4.0,11.0,7.0,106.0
5,אופקים,מישור הגפן,0.0,8.0,5.0,0.0,3227.0,,310.0,605.0,6.0,8.0,4.0,144.0
6,אופקים,קרית מנחם,4.0,0.0,1.0,517.0,20506.0,,321.0,414.0,1.0,1.0,0.0,607.0
7,אופקים,שפירא,0.0,10.0,1.0,0.0,3696.0,3.0,338.0,475.0,3.0,3.0,3.0,314.0
8,אור יהודה,ההסתדרות,5.0,10.0,2.0,145.0,135984.0,2.0,397.0,268.0,8.0,18.0,11.0,78.0
9,אור יהודה,נווה סביון,4.0,18.0,3.0,232.0,162420.0,5.0,344.0,216.0,9.0,3.0,2.0,197.0
10,אור יהודה,נווה רבין,1.0,11.0,0.0,264.0,49932.0,,349.0,294.0,0.0,0.0,2.0,259.0
11,אור יהודה,עמידר,2.0,4.0,2.0,221.0,98485.0,1.0,333.0,187.0,4.0,7.0,3.0,69.0
12,אור יהודה,קרית גיורא,0.0,9.0,3.0,0.0,37257.0,2.0,350.0,200.0,5.0,6.0,7.0,82.0
13,אור יהודה,רמת פנקס,0.0,0.0,3.0,0.0,5571.0,,491.0,306.0,3.0,1.0,3.0,192.0
14,אור יהודה,שיכון ממשלתי,5.0,10.0,7.0,282.0,74860.0,3.0,403.0,264.0,11.0,19.0,15.0,119.0
15,אור יהודה,שפרינצק,0.0,6.0,1.0,0.0,97686.0,2.0,399.0,238.0,3.0,12.0,5.0,68.0
16,אור עקיבא,אור עקיבא הותיקה,3.0,2.0,7.0,441.0,56032.0,4.0,284.0,121.0,16.0,27.0,8.0,66.0
17,אור עקיבא,אורות,2.0,4.0,4.0,259.0,30869.0,3.0,173.0,128.0,7.0,5.0,2.0,181.0
18,אור עקיבא,בן גוריון,0.0,0.0,2.0,0.0,21844.0,3.0,325.0,279.0,2.0,1.0,0.0,103.0
19,אור עקיבא,גני אור,0.0,3.0,0.0,0.0,71691.0,2.0,210.0,125.0,1.0,1.0,0.0,142.0
20,אור עקיבא,היובל,2.0,14.0,0.0,360.0,17871.0,,288.0,289.0,1.0,0.0,0.0,309.0
21,אור עקיבא,נווה אור,0.0,0.0,0.0,0.0,70474.0,1.0,286.0,107.0,0.0,4.0,0.0,24.0
22,אור עקיבא,נווה אלון,0.0,1.0,5.0,0.0,79397.0,4.0,335.0,106.0,11.0,17.0,9.0,90.0
23,אור עקיבא,"נוף ים - מע""ר",1.0,0.0,0.0,668.0,39455.0,,230.0,139.0,0.0,1.0,0.0,84.0
24,אור עקיבא,קנדי,3.0,0.0,3.0,210.0,49449.0,,319.0,240.0,4.0,7.0,5.0,116.0
25,אור עקיבא,"שז""ר",0.0,0.0,1.0,0.0,27605.0,1.0,314.0,253.0,1.0,1.0,1.0,168.0
26,אילת,אופיר,2.0,5.0,1.0,249.0,61715.0,3.0,224.0,223.0,1.0,5.0,1.0,91.0
27,אילת,אורים,5.0,3.0,1.0,207.0,17775.0,2.0,198.0,182.0,1.0,1.0,0.0,149.0
28,אילת,בנה ביתך,0.0,2.0,0.0,0.0,57742.0,1.0,320.0,435.0,3.0,8.0,2.0,167.0
29,אילת,גנים א,0.0,2.0,0.0,0.0,4610.0,,489.0,498.0,0.0,1.0,0.0,160.0
30,אילת,גנים ב,0.0,0.0,0.0,0.0,4610.0,,489.0,498.0,2.0,0.0,0.0,482.0
31,אילת,הדקל,2.0,6.0,1.0,231.0,42266.0,2.0,201.0,163.0,12.0,11.0,5.0,63.0
32,אילת,המלונות,0.0,0.0,0.0,0.0,4610.0,,281.0,607.0,4.0,28.0,0.0,111.0
33,אילת,הערבה,0.0,6.0,3.0,0.0,43759.0,1.0,192.0,193.0,4.0,8.0,2.0,82.0
34,אילת,יעלים,1.0,2.0,2.0,5349.0,46818.0,4.0,291.0,186.0,5.0,11.0,4.0,91.0
35,אילת,מצפה ים,1.0,7.0,0.0,174.0,31758.0,2.0,259.0,257.0,2.0,3.0,1.0,254.0
36,אילת,מרכז העיר,3.0,2.0,2.0,307.0,56337.0,2.0,255.0,199.0,30.0,63.0,1.0,39.0
37,אילת,נווה מדבר,0.0,0.0,0.0,0.0,20361.0,2.0,392.0,187.0,0.0,0.0,0.0,218.0
38,אילת,צאלים,1.0,5.0,3.0,174.0,31121.0,,219.0,207.0,4.0,7.0,4.0,97.0
39,אילת,שחמון,3.0,27.0,0.0,527.0,345115.0,11.0,,365.0,5.0,9.0,3.0,338.0
40,אשדוד,בקמה,1.0,0.0,0.0,1659.0,1301531.0,,157.0,402.0,3.0,14.0,0.0,8.0
41,אשדוד,"הקריה מע""ר",1.0,0.0,0.0,233.0,127293.0,,239.0,366.0,8.0,15.0,0.0,70.0
42,אשדוד,מרינה,0.0,4.0,0.0,0.0,40444.0,,213.0,394.0,2.0,4.0,0.0,307.0
43,אשדוד,עורף הנמל,0.0,0.0,0.0,0.0,431653.0,,132.0,844.0,0.0,14.0,0.0,33.0
44,אשדוד,רובע א,8.0,10.0,12.0,177.0,194731.0,4.0,187.0,220.0,33.0,60.0,23.0,69.0
45,אשדוד,רובע ב,9.0,12.0,10.0,185.0,245034.0,3.0,204.0,206.0,21.0,19.0,18.0,74.0
46,אשדוד,רובע ג,21.0,75.0,5.0,118.0,1325565.0,8.0,221.0,346.0,16.0,14.0,19.0,114.0
47,אשדוד,רובע ד,4.0,29.0,5.0,212.0,195884.0,7.0,224.0,333.0,15.0,26.0,11.0,106.0
48,אשדוד,רובע ה,11.0,24.0,3.0,139.0,246187.0,3.0,288.0,266.0,12.0,10.0,8.0,107.0
49,אשדוד,רובע ו,6.0,24.0,7.0,139.0,143038.0,3.0,342.0,259.0,15.0,13.0,13.0,116.0
50,אשדוד,רובע ז,30.0,126.0,1.0,94.0,55055.0,3.0,396.0,256.0,12.0,10.0,10.0,102.0
51,אשדוד,רובע ח,7.0,29.0,5.0,135.0,120217.0,,382.0,407.0,13.0,16.0,11.0,100.0
52,אשדוד,רובע ט,5.0,23.0,2.0,186.0,33368.0,3.0,411.0,439.0,8.0,3.0,4.0,211.0
