City,Neighborhood,Schools,Kindergartens_And_Dormitories,Non_Formal_Educational_Institutions,Education_Average_Distance,Green_Areas_SQM,Parks_And_Gardens,Green_Areas_Average_Distance,Parks_And_Gardens_Average_Distance,Public_Institutions,Community_Institutions,Religious_Institutions,Public_Building_Average_Distance
אופקים,בן גוריון,4,12,3,720,18272,1,334,376,5,5,4,98
אופקים,דדו,2,11,2,687,6602,1,342,211,7,2,1,108
אופקים,הארזים,4,15,5,517,18294,2,324,372,18,14,4,117
אופקים,"הרי""ף",5,12,2,370,18294,1,283,222,2,12,5,88
אופקים,יעקב מסיקה,9,10,2,285,21177,1,326,377,4,11,7,106
אופקים,מישור הגפן,4,8,5,517,3227,1,310,605,6,8,4,144
אופקים,קרית מנחם,4,11,1,517,20506,1,321,414,1,1,4,607
אופקים,שפירא,4,10,1,517,3696,3,338,475,3,3,3,314
אור יהודה,ההסתדרות,5,10,2,145,135984,2,397,268,8,18,11,78
אור יהודה,נווה סביון,4,18,3,232,162420,5,344,216,9,3,2,197
אור יהודה,נווה רבין,1,11,3,264,49932,2,349,294,5,7,2,259
אור יהודה,עמידר,2,4,2,221,98485,1,333,187,4,7,3,69
אור יהודה,קרית גיורא,4,9,3,232,37257,2,350,200,5,6,7,82
אור יהודה,רמת פנקס,4,10,3,232,5571,2,491,306,3,1,3,192
אור יהודה,שיכון ממשלתי,5,10,7,282,74860,3,403,264,11,19,15,119
אור יהודה,שפרינצק,4,6,1,232,97686,2,399,238,3,12,5,68
אור עקיבא,אור עקיבא הותיקה,3,2,7,441,56032,4,284,121,16,27,8,66
אור עקיבא,אורות,2,4,4,259,30869,3,173,128,7,5,2,181
אור עקיבא,בן גוריון,2,3,2,360,21844,3,325,279,2,1,5,103
אור עקיבא,גני אור,2,3,3,360,71691,2,210,125,1,1,5,142
אור עקיבא,היובל,2,14,3,360,17871,3,288,289,1,4,5,309
אור עקיבא,נווה אור,2,3,3,360,70474,1,286,107,3,4,5,24
אור עקיבא,נווה אלון,2,1,5,360,79397,4,335,106,11,17,9,90
